id,biomass_commodity,co2_content,investment_cost,fixed_om_cost,variable_om_cost,electricity_consumption,gasoline_production,jetfuel_production,diesel_production,electricity_production,emission_rate,capture_rate
CA_Gasoline_Gasification_Non_CCS_Herb,Biomass_Herb,1.721,356053.6,283503.36,22.0416,0,2.0204,0,0,0,1.228078285,0
NW_Gasoline_Gasification_Non_CCS_Herb,Biomass_Herb,1.726,356053.6,283503.36,22.0416,0,2.0249,0,0,0,1.231994345,0
SW_Gasoline_Gasification_Non_CCS_Herb,Biomass_Herb,1.71,356053.6,283503.36,22.0416,0,2.0115,0,0,0,1.219246165,0
TX_Gasoline_Gasification_Non_CCS_Herb,Biomass_Herb,1.714,356053.6,283503.36,22.0416,0,2.016,0,0,0,1.222162225,0
NCEN_Gasoline_Gasification_Non_CCS_Herb,Biomass_Herb,1.74,356053.6,283503.36,22.0416,0,2.0371,0,0,0,1.24301351,0
CEN_Gasoline_Gasification_Non_CCS_Herb,Biomass_Herb,1.723,356053.6,283503.36,22.0416,0,2.0249,0,0,0,1.228994345,0
SE_Gasoline_Gasification_Non_CCS_Herb,Biomass_Herb,1.717,356053.6,283503.36,22.0416,0,2.0215,0,0,0,1.2238073,0
MIDAT_Gasoline_Gasification_Non_CCS_Herb,Biomass_Herb,1.736,356053.6,283503.36,22.0416,0,2.0327,0,0,0,1.24009745,0
NE_Gasoline_Gasification_Non_CCS_Herb,Biomass_Herb,1.745,356053.6,283503.36,22.0416,0,2.0404,0,0,0,1.247200555,0
CA_Gasoline_Gasification_Non_CCS_Wood,Biomass_Wood,1.843,356053.6,283503.36,22.0416,0,2.1504,0,0,0,1.31837304,0
NW_Gasoline_Gasification_Non_CCS_Wood,Biomass_Wood,1.818,356053.6,283503.36,22.0416,0,2.1459,0,0,0,1.29445698,0
SW_Gasoline_Gasification_Non_CCS_Wood,Biomass_Wood,1.798,356053.6,283503.36,22.0416,0,2.126,0,0,0,1.27933471,0
